2,22,23,32,35,41
8,11,35,39,41,43
9,11,16,20,27,46
24,30,33,34,47,49
11,16,31,35,46,48
2,4,7,26,40,47
5,7,9,27,31,34
2,9,13,16,29,40
14,20,21,23,25,37
4,5,12,20,47,49
1,23,30,34,40,42
20,21,23,37,39,47
9,10,19,21,23,43
5,7,22,25,34,40
15,21,23,24,39,40
9,15,17,22,44,46
13,15,16,27,36,47
3,8,11,32,44,46
21,24,31,34,37,44
4,23,43,44,46,48
8,14,16,23,24,27
8,9,12,18,27,45
5,21,29,30,38,45
4,13,14,36,41,43
8,17,24,29,32,45
4,7,15,31,32,43
2,8,22,31,32,35
2,12,25,28,37,38
12,17,25,28,36,44
7,9,16,27,32,47
13,19,20,23,29,31
10,12,20,27,43,46
1,28,30,32,40,48
28,34,38,39,42,46
1,27,28,40,41,44
5,13,18,25,28,44
6,20,30,41,42,45
2,9,15,19,20,37
6,28,30,35,39,42
2,6,9,17,26,46
16,22,28,36,39,47
8,14,20,35,36,41
22,25,27,29,35,49
7,8,9,28,41,42
2,6,13,17,23,46
8,17,31,43,44,48
7,10,19,23,24,33
2,7,24,27,29,34
9,14,17,25,30,36
11,20,21,29,37,48
21,22,25,27,32,39
8,12,16,19,22,46
5,14,23,28,45,49
5,8,16,44,48,49
2,7,17,21,35,42
3,6,12,25,40,43
8,29,33,34,42,49
7,15,20,33,39,44
1,18,22,35,38,49
2,4,34,36,42,46
8,10,18,25,28,46
3,28,37,38,44,47
10,11,24,27,36,49
4,18,24,39,46,47
2,14,31,36,43,46
6,8,11,24,37,46
5,9,11,19,24,37
3,4,8,19,24,46
2,4,15,24,37,48
2,3,17,19,22,40
4,21,25,40,47,48
1,21,31,36,39,43
8,10,15,31,38,40
17,22,26,34,41,47
1,13,21,41,48,49
1,11,19,26,35,39
14,19,24,32,36,42
3,5,8,21,40,46
2,15,18,24,34,35
5,14,20,23,36,49
3,7,9,27,39,44
16,20,31,32,40,41
3,18,24,30,35,49
6,13,19,25,26,39
6,9,14,27,28,46
1,3,4,24,34,48
6,9,15,27,37,48
8,11,28,34,40,46
14,17,26,31,41,45
2,20,21,25,27,38
3,10,18,22,48,49
4,6,11,13,26,31
3,9,14,21,32,40
3,4,12,15,28,48
11,19,23,32,48,49
5,6,11,25,35,40
1,10,35,36,41,49
2,10,11,21,26,36
3,16,18,31,35,38
13,22,30,32,45,46
4,9,23,26,34,44
1,8,29,31,37,42
6,14,24,36,37,39
4,6,8,15,29,36
6,26,38,40,44,49
2,14,18,27,31,44
8,11,22,35,36,46
2,11,14,16,31,44
7,21,22,30,35,39
4,6,13,15,21,30
11,18,26,27,34,46
11,12,15,16,21,32
1,12,13,14,38,40
1,3,5,8,20,44
4,6,14,18,19,35
5,11,30,36,44,46
6,18,22,24,26,30
12,21,27,28,35,43
2,7,12,19,29,36
1,15,23,25,33,42
8,12,24,33,35,39
7,15,19,31,32,40
7,12,20,24,30,31
2,17,19,23,32,49
1,10,24,26,36,47
1,4,23,40,46,48
1,12,26,29,39,49
9,20,23,46,48,49
6,7,8,9,14,19
3,20,26,31,34,40
1,3,4,22,37,41
13,14,19,32,33,48
11,14,21,28,30,39
3,4,19,26,28,34
9,13,16,18,48,49
